soil,group,object_id,n_voxels,diameter_um,elongation,flatness,near_planar,near_linear,sphericity,sphericity_method,pore_contact_fraction,centroid_z_um,centroid_y_um,centroid_x_um,cluster_id,archetype_id
bnei_reem,bnei_reem,36,6183,341.5826323989991,1.7999352505760893,1.0804892353487558,False,False,0.4681709791916823,marching_cubes,0.535972754363559,152.519710065017,7772.304278358079,2215.439279646612,1,0
bnei_reem,bnei_reem,45,5991,338.0096807033591,1.3782323464523258,1.4653523132780866,False,False,0.36606127090118384,marching_cubes,0.4386856368563686,179.39336933750627,9272.67598348022,8165.356521522117,3,0
bnei_reem,bnei_reem,46,4332,303.38365667812394,1.194728730919804,3.0051048507283586,False,False,0.4337895678957966,marching_cubes,0.11106175033318526,217.0277790565559,9511.798084030472,45.26360750877193,3,0
bnei_reem,bnei_reem,106,4328,303.29025037398196,1.2465264296489695,2.1621755388745116,False,False,0.46574394384976975,marching_cubes,0.20021130480718435,296.8767936788355,9664.300018092654,8797.001661794593,3,0
bnei_reem,bnei_reem,107,384741,1353.5849659172368,2.6026445881696567,1.6042795355060013,False,False,0.2601353914080512,marching_cubes,0.863603219564181,2739.4300824241764,6659.080431143104,3752.0140800100485,0,0
bnei_reem,bnei_reem,119,4703,311.8083146331936,1.7226773311333075,1.739154336977892,False,False,0.5548917669403568,marching_cubes,0.9179019384264538,296.01931295747397,7988.052981055496,1189.1325859070807,2,0
bnei_reem,bnei_reem,148,2249,243.83301985493068,2.4662199545217987,2.4450637868062466,False,False,0.41626321812885525,marching_cubes,0.24570982839313574,319.1516806576256,4856.333254660293,8309.568979315696,3,0
bnei_reem,bnei_reem,198,2320,246.37238472510452,2.3650381132641485,1.6360379718283378,False,False,0.34107205012360786,marching_cubes,0.3781569965870307,520.9512954211208,6624.705890965086,2386.3426696189654,3,0
bnei_reem,bnei_reem,222,37075,620.5685358605874,1.2913407499654013,1.4049813573801886,False,False,0.41620613267944245,marching_cubes,0.38619402985074625,762.451403682886,7019.87350618031,5231.12869837416,3,0
bnei_reem,bnei_reem,236,6951,355.17724025719843,1.7573902262713361,1.975795360375457,False,False,0.33643182555658196,marching_cubes,0.46961170512099043,1025.6338391348008,9630.451725412602,9475.482555510718,3,0
bnei_reem,bnei_reem,244,1877,229.5712275493758,1.6960856455362578,1.1466997050096353,False,False,0.7065455833309735,marching_cubes,0.8028169014084507,576.6466443223229,5363.628131666489,1699.3242852210976,1,0
bnei_reem,bnei_reem,247,5776,333.9169209515965,1.7432749784957864,1.802702889781733,False,False,0.46968746680643175,marching_cubes,0.6586799276672695,827.254581579813,7697.920128681961,5767.726094115824,2,0
bnei_reem,bnei_reem,283,3105,271.5083770610846,2.5914254011123825,1.234571360663892,False,False,0.41987686753716885,marching_cubes,0.5891521197007481,829.5831196708535,6624.138262887923,4360.168914445733,0,0
bnei_reem,bnei_reem,304,5954,337.312401839425,1.4692551445281221,1.618540547865005,False,False,0.6238094751278017,marching_cubes,0.2904841402337229,972.1149636024522,8844.08684266409,831.646655298119,1,0
bnei_reem,bnei_reem,308,12912,436.61019395760235,1.1498436152543392,1.6045236598957235,False,False,0.568859081484342,marching_cubes,0.4015015015015015,1037.5521278100991,3412.29574457675,9095.234397142194,1,0
bnei_reem,bnei_reem,314,5651,331.4905366155544,2.1290413618375017,1.513818286393388,False,False,0.363826395268922,marching_cubes,0.6615440907427735,1137.664813344187,7739.864530094497,3473.945319759689,0,0
bnei_reem,bnei_reem,322,3037,269.5117037889333,2.942011023750216,1.6693179835361047,False,False,0.45497314962289404,marching_cubes,0.47322623828647925,1187.1849898212051,9169.15594602239,2723.5914268090223,0,0
bnei_reem,bnei_reem,346,99399,862.0981318662468,1.4813259676819224,1.424458032003716,False,False,0.37143628065999384,marching_cubes,0.3950352130263224,1816.6206767366978,7883.109874514362,3970.593118435588,3,0
bnei_reem,bnei_reem,351,4677,311.232653579504,1.0985853283836498,2.4491799804192427,False,False,0.4417572801753284,marching_cubes,0.6353824495541999,1368.4388656350227,448.92043100876634,84.03226511631388,2,0
bnei_reem,bnei_reem,361,38626,629.1042381858765,2.3748913761723434,1.7872172348154691,False,False,0.3547374856440776,marching_cubes,0.8952432335221653,1678.3891411543777,4582.269407400922,298.9606665345622,0,0
bnei_reem,bnei_reem,371,2573,255.02100974967973,2.433180082915458,1.0972927726553565,False,False,0.46137966709996114,marching_cubes,0.5276073619631901,1354.3333129961136,7131.238733663817,5859.10600399456,0,0
bnei_reem,bnei_reem,433,6509,347.483448401045,1.6733375989180495,1.7244140183277852,False,False,0.47905142775521103,marching_cubes,0.592814371257485,1849.65963904271,8785.26394453357,6332.425015459671,1,0
bnei_reem,bnei_reem,435,16056,469.50672658540606,1.6104797544744942,3.065702087764929,False,False,0.25814101604010886,marching_cubes,0.641994546162836,1982.4047813779896,7144.638420790047,5723.752670027155,3,0
bnei_reem,bnei_reem,441,1869,229.2446096762653,1.6482965539525323,1.2521950168998026,False,False,0.7548491197545963,marching_cubes,0.7510853835021708,1717.9624902857142,4985.779861999999,3884.8620242380957,1,0
bnei_reem,bnei_reem,490,4983,317.87740670344533,1.3857819808074974,1.5049649712837014,False,False,0.4329124582834831,marching_cubes,0.15477252453166815,2107.326772426851,2039.7493401770018,7349.633511353803,3,0
bnei_reem,bnei_reem,501,3518,283.0487951895564,1.0908095025175963,1.9903938896202151,False,False,0.43003917957662285,marching_cubes,0.5433763188745604,2048.97004022257,8490.109916971574,5875.282919972712,2,0
bnei_reem,bnei_reem,524,35350,610.7908254108005,1.993649779283499,1.1941838081912475,False,False,0.2778719036851537,marching_cubes,0.6031323414252153,2829.3068877618953,9412.870162200084,7184.7403917575675,3,0
bnei_reem,bnei_reem,541,4185,299.9124673216592,2.2058874756215876,1.483784358201469,False,False,0.4896866731157678,marching_cubes,0.19954128440366972,2389.3964942927123,1873.2264925029867,7830.350182139546,1,0
bnei_reem,bnei_reem,543,8832,384.69427131843344,1.8255337036007138,2.94556299604945,False,False,0.3244238572631999,marching_cubes,0.4477714285714286,2719.334077000906,4794.368275759058,122.06133474649003,3,0
bnei_reem,bnei_reem,553,9443,393.3683029324232,1.8752054730219267,1.3559443870084888,False,False,0.6021127667898724,marching_cubes,0.5696152320507735,2449.451419824632,4956.29989395584,1737.8219852688765,1,0
bnei_reem,bnei_reem,565,2285,245.12716007684153,2.973513474033473,1.144063114030592,False,False,0.6878197467051604,marching_cubes,0.9244391971664699,2320.979291155799,7171.981525439388,506.3485745369803,0,0
bnei_reem,bnei_reem,568,21065,513.9843000386595,2.0782124828794806,1.3073695225585582,False,False,0.3969897325430196,marching_cubes,0.4099321406539173,2785.210433772846,8158.693907162972,6714.837172400855,3,0
